# File created on: 2025-03-27 01:10:05

        # File generated by CPextract.py cpmd msd version 0.2.0.
        # Parameters: trajectory filename=mol_wan_small.xyz
        # Parameters: initial_step=0, timestep=2.5
        # Data below:

        time,msd
0.0,0.0
2.5,8.125528252744527e-05
5.0,0.0003256066784046703
7.5,0.0007298740908830595
10.0,0.0012849556025740577
12.5,0.001976708785518638
15.0,0.0027888914330426442
17.5,0.003702824800344192
20.0,0.004700440206683573
22.5,0.005765686932059337
25.0,0.0068817588941796366
27.5,0.008032446216203751
30.0,0.009208545109899234
32.5,0.010400763149712838
35.0,0.011605168892805566
37.5,0.012821707517369567
40.0,0.014055827706675184
42.5,0.01531144689976847
45.0,0.016593866108455847
47.5,0.017903825392988522
50.0,0.019242094415059915
52.5,0.020608597474449295
55.0,0.021998293317059648
57.5,0.0234148895341924
60.0,0.024852800988617054
62.5,0.0263142933062099
65.0,0.027794459267376212
67.5,0.02928619824217337
70.0,0.0307832145271592
72.5,0.032274373957210944
75.0,0.033745398173716495
77.5,0.035181627722457746
80.0,0.036570337561778715
82.5,0.03790140429567505
85.0,0.03915448150225067
87.5,0.04033050904168317
90.0,0.04142794913843503
92.5,0.042457464352055524
95.0,0.043435974048440955
97.5,0.04438574305696318
100.0,0.0453385631077065
102.5,0.04631049165956269
105.0,0.047327151044459975
107.5,0.048407725013632066
110.0,0.04956710872600831
112.5,0.05082445070539643
115.0,0.052182629742413514
117.5,0.053655605868497
120.0,0.05524237002902561
122.5,0.05694907179053378
125.0,0.058770569244486696
127.5,0.060699291515841844
130.0,0.06272227865630219
132.5,0.06482166182023116
135.0,0.06697831492549483
137.5,0.06917404714019508
140.0,0.07138157907851991
142.5,0.07359534807779555
145.0,0.07578709342012864
147.5,0.07795170454020464
150.0,0.08008979828827126
152.5,0.0821999215544868
155.0,0.08429019662811284
157.5,0.08637073567924244
160.0,0.08845270945888209
162.5,0.0905438725151188
165.0,0.09265436939593291
167.5,0.09479504448023304
170.0,0.09698405348512626
172.5,0.0992177604764447
175.0,0.1015034762895179
177.5,0.1038484531632577
180.0,0.10625282810762289
182.5,0.10870844582497467
185.0,0.11121706190860367
187.5,0.11376034833848458
190.0,0.11632683849274203
192.5,0.11889155849806807
195.0,0.12144491082212833
197.5,0.12395369530737435
200.0,0.12640849086128916
202.5,0.12879303686643404
205.0,0.13108825471117733
207.5,0.13329695192708893
210.0,0.13541327146975723
212.5,0.1374591612549377
215.0,0.13943850565950106
217.5,0.14136763778218475
220.0,0.14325807067585203
222.5,0.14513546081336232
225.0,0.14701866770008507
227.5,0.1489273987910809
230.0,0.15089386587438958
232.5,0.15294051056380703
235.0,0.1550756664799697
237.5,0.15732358074339714
240.0,0.15968118653871358
242.5,0.16215933442898903
245.0,0.16474340176170765
247.5,0.1674327229965973
250.0,0.17020812922912232
252.5,0.17306385063027654
255.0,0.1759774044686591
257.5,0.17893179976283388
260.0,0.1819048641828026
262.5,0.18488390002820848
265.0,0.18784433171158563
267.5,0.19077654584276116
270.0,0.19367763359852713
272.5,0.1965260381699865
275.0,0.19932248262615793
277.5,0.20208801468558799
280.0,0.20480801045729877
282.5,0.20749864064112056
285.0,0.21018269927736613
287.5,0.21288091475547863
290.0,0.21560028540996962
292.5,0.2183610761366563
295.0,0.2211777987272974
297.5,0.22406473785739342
300.0,0.22702149221368476
302.5,0.2300541412755759
305.0,0.23316585440342014
307.5,0.23634886470199787
310.0,0.23960829067145
312.5,0.24293082734602617
315.0,0.2462951600307137
317.5,0.24967538871439027
320.0,0.25305248533156444
322.5,0.256388220295306
325.0,0.25966488135091254
327.5,0.26285407336506783
330.0,0.26594810802709873
332.5,0.2689335113060296
335.0,0.27181163059103786
337.5,0.2745814069236094
340.0,0.2772581581890996
342.5,0.27988782134428836
345.0,0.2824765635565884
347.5,0.28506998339014333
350.0,0.2876893448009848
352.5,0.29036882270465336
355.0,0.2931328840845725
357.5,0.2960169967432557
360.0,0.2990340860854636
362.5,0.30220952325838735
365.0,0.30553907936889274
367.5,0.30903829896208973
370.0,0.31270164931666844
372.5,0.3164795443531656
375.0,0.3203650707711956
377.5,0.32432138653940484
380.0,0.32830612023702316
382.5,0.3322845594229597
385.0,0.3362295654959101
387.5,0.34010328913783955
390.0,0.3438950336031118
392.5,0.3475838110120854
395.0,0.3511613488463817
397.5,0.3546301651792521
400.0,0.3579932898659877
402.5,0.36127685861447884
405.0,0.3645040217211897
407.5,0.3677030705798978
410.0,0.37091583938616624
412.5,0.37416926908059345
415.0,0.37749181951535243
417.5,0.38091026758137314
420.0,0.38444524457679496
422.5,0.38809495724130044
425.0,0.39184388148756016
427.5,0.39567877236933063
430.0,0.3995874414350005
432.5,0.4035240335303446
435.0,0.40744123397849336
437.5,0.41130055952432737
440.0,0.41506841700274566
442.5,0.4186768602447195
445.0,0.42212293382546184
447.5,0.42538138258013114
450.0,0.4283972977855934
452.5,0.4312021155300397
455.0,0.43379468324772863
457.5,0.436207675125422
460.0,0.43846532195383714
462.5,0.4406231091820295
465.0,0.44272174972154116
467.5,0.4448224042811994
470.0,0.44696940944721575
472.5,0.44919927654601033
475.0,0.451566528298187
477.5,0.45407659243918946
480.0,0.4567567039483175
482.5,0.4596134911536405
485.0,0.4626363091448954
487.5,0.4658234872743237
490.0,0.46913693865124373
492.5,0.4725518904442782
495.0,0.4760254349208737
497.5,0.4795251086489469
500.0,0.4830025440675166
502.5,0.48642601116791845
505.0,0.4897636508981536
507.5,0.49298813873162434
510.0,0.4960953811676089
512.5,0.4990632114023755
515.0,0.5018978921794418
517.5,0.5046346608194061
520.0,0.5073008293542374
522.5,0.5099161516060777
525.0,0.5125401264452919
527.5,0.5151785615349694
530.0,0.5178856391685355
532.5,0.5206914576513495
535.0,0.5236189818942686
537.5,0.5266830470402942
540.0,0.5298844082013717
542.5,0.5332236747867191
545.0,0.5366807204890404
547.5,0.5402459447184361
550.0,0.5438596445480884
552.5,0.547487454755696
555.0,0.5510976873818909
557.5,0.5546164139841504
560.0,0.5580138833302386
562.5,0.5612498366352408
565.0,0.5642836439228888
567.5,0.5671014619174962
570.0,0.5696801733404627
572.5,0.5720193100546996
575.0,0.574174347474143
577.5,0.5761503326199817
580.0,0.5779928451787747
582.5,0.5797311201583668
585.0,0.5814228628887237
587.5,0.58312470664649
590.0,0.5848775136061961
592.5,0.5867284192436908
595.0,0.588704082532741
597.5,0.5908317807914472
600.0,0.593136743552769
602.5,0.5956086625655451
605.0,0.5982524589912256
607.5,0.6010527522023096
610.0,0.6039822755463266
612.5,0.6070084453592322
615.0,0.6101089414940546
617.5,0.6132453100693116
620.0,0.6163780334582043
622.5,0.6194872482854765
625.0,0.6225435799083305
627.5,0.625532014567096
630.0,0.6284369305053856
632.5,0.6312563386820381
635.0,0.634007643640897
637.5,0.6366892956944721
640.0,0.6393440451627753
642.5,0.6419943662732959
645.0,0.6446636276226015
647.5,0.6474024752963528
650.0,0.6502048953565162
652.5,0.6530964248789153
655.0,0.6561159908645373
657.5,0.6592388146455345
660.0,0.6624728296415998
662.5,0.6657884052536339
665.0,0.6691799902759274
667.5,0.6726268254031693
670.0,0.6760624195739187
672.5,0.6795084513933517
675.0,0.6829149622189488
677.5,0.6862301786309286
680.0,0.6894272363494047
682.5,0.692476074189829
685.0,0.6953596988397849
687.5,0.6980545769535107
690.0,0.7005504500461645
692.5,0.702857799690356
695.0,0.7049941966330039
697.5,0.7069961838061705
700.0,0.708891324381653
702.5,0.7107209733869335
705.0,0.7125222467592476
707.5,0.7143430174238363
710.0,0.7162240333297863
712.5,0.7181800498904788
715.0,0.7202386957658633
717.5,0.7224254361019989
720.0,0.7247174032050241
722.5,0.7271312502741547
725.0,0.7296539327241205
727.5,0.7322801658287327
730.0,0.7349798482423343
732.5,0.737730412546944
735.0,0.7405065223287066
737.5,0.7433012322850026
740.0,0.7460603493236001
742.5,0.7487833376836451
745.0,0.751425774433612
747.5,0.7540056121630729
750.0,0.7565157027604829
752.5,0.7589626708417043
755.0,0.7613801061114265
757.5,0.7637937990423248
760.0,0.7662254548239089
762.5,0.7686934379674553
765.0,0.7712222895975744
767.5,0.7738608153710553
770.0,0.7765815994870119
772.5,0.7794294000249773
775.0,0.7823823713534126
777.5,0.7854238793983347
780.0,0.7885526344241734
782.5,0.791748499568547
785.0,0.7949881944706173
787.5,0.7982292312868114
790.0,0.8014542292880069
792.5,0.8046218112279474
795.0,0.8077160069866344
797.5,0.810708746359158
800.0,0.8135988667879371
802.5,0.8163488583441784
805.0,0.8189548717931989
807.5,0.8214114958018407
810.0,0.8237479189900948
812.5,0.8259286493097545
815.0,0.8279933664087155
817.5,0.8299764986092586
820.0,0.8318968222774283
822.5,0.8337963741399347
825.0,0.8356880645076683
827.5,0.8375831389483683
830.0,0.8395215516898187
832.5,0.8414949220474739
835.0,0.8434955541169068
837.5,0.8455498151744271
840.0,0.8476385754378221
842.5,0.8497678171578558
845.0,0.8519385999902993
847.5,0.854131555069483
850.0,0.8563478895967253
852.5,0.858613849255975
855.0,0.8608948376300112
857.5,0.8631748977547784
860.0,0.8654384991372698
862.5,0.8676778181797041
865.0,0.8698692919007268
867.5,0.8720224650965209
870.0,0.874143279964013
872.5,0.8762225012163274
875.0,0.8782658958491346
877.5,0.8803141500791393
880.0,0.8823838968163225
882.5,0.8845001562173818
885.0,0.8866732774188196
887.5,0.8889058981426774
890.0,0.8912200198149676
892.5,0.8935936840380876
895.0,0.8960278882379183
897.5,0.8985233104227637
900.0,0.9010590780514536
902.5,0.9036080470163836
905.0,0.9061808652966035
907.5,0.9087425175778093
910.0,0.9113133174403553
912.5,0.9138648607503974
915.0,0.9163730127091081
917.5,0.9188213450271121
920.0,0.9211738511106612
922.5,0.9234175251818016
925.0,0.9255481245046945
927.5,0.9275439494043126
930.0,0.9294165108639452
932.5,0.9311910342674339
935.0,0.9328731777591442
937.5,0.9344984053828826
940.0,0.9360833583915392
942.5,0.9376934024087448
945.0,0.9392936549025621
947.5,0.9409129270209492
950.0,0.9425678530900511
952.5,0.9442571311860561
955.0,0.9459683420232895
957.5,0.9477202068695109
960.0,0.9495246635953348
962.5,0.9513790734108264
965.0,0.9532874861713935
967.5,0.9552650282647654
970.0,0.957311109005777
972.5,0.9594396753876132
975.0,0.9616017221625097
977.5,0.9638378042571192
980.0,0.9661254942603629
982.5,0.9684389572330274
985.0,0.9707832565400503
987.5,0.9731563972685847
990.0,0.9755592330196142
992.5,0.9780137385983159
995.0,0.9805241497448551
997.5,0.9830921586804818
1000.0,0.9857613831433257
1002.5,0.9885256634499938
1005.0,0.9913899604054871
1007.5,0.9943440563212875
1010.0,0.9973724243281706
1012.5,1.0004587306199286
1015.0,1.0035944429836283
1017.5,1.00677066678762
1020.0,1.0099804892659787
1022.5,1.0132171737871216
1025.0,1.016473329612009
1027.5,1.0197596409134264
1030.0,1.0230428365654671
1032.5,1.026302990940849
1035.0,1.0295022749818301
1037.5,1.0326239772701897
1040.0,1.0355983841452638
1042.5,1.0384104809184553
1045.0,1.0410363332171917
1047.5,1.0434601277604636
1050.0,1.0456822712230296
1052.5,1.0477117267470226
1055.0,1.0495985233230882
1057.5,1.0513519773876066
1060.0,1.0530092103794777
1062.5,1.054599463703073
1065.0,1.0561464889663026
1067.5,1.0576552550418437
1070.0,1.0591472430596538
1072.5,1.0606493581597722
1075.0,1.0621706839614875
1077.5,1.063731990699131
1080.0,1.0653359101121944
1082.5,1.0670034312159808
1085.0,1.06875316795506
1087.5,1.0705888949741367
1090.0,1.072481839322367
1092.5,1.074429320952803
1095.0,1.076408083371822
1097.5,1.0783853886593155
1100.0,1.080350803242223
1102.5,1.0822975660100593
1105.0,1.0842215799777977
1107.5,1.0861551330383743
1110.0,1.08809329568495
1112.5,1.0900975975749725
1115.0,1.092187821212704
1117.5,1.094393172565239
1120.0,1.096717128519746
1122.5,1.0992179748243387
1125.0,1.1018623387572477
1127.5,1.1046635099116782
1130.0,1.1075808661712108
1132.5,1.1106122681678785
1135.0,1.113745636110934
1137.5,1.1169751703103037
1140.0,1.1202859985138605
1142.5,1.1236614035425232
1145.0,1.1270887343514344
1147.5,1.1305183883009127
1150.0,1.1339421016348536
1152.5,1.137300447271367
1155.0,1.140560604212957
1157.5,1.1436808492092976
1160.0,1.1466494887561178
1162.5,1.149438140169558
1165.0,1.1520662361100935
1167.5,1.154540632460014
1170.0,1.156881649457682
1172.5,1.1591260381497008
1175.0,1.1613080158327145
1177.5,1.163429458997556
1180.0,1.1654987820805915
1182.5,1.1675635431144267
1185.0,1.1696166598738498
1187.5,1.1716398339435807
1190.0,1.1736321810120052
1192.5,1.1755969705744167
1195.0,1.1775527893546571
1197.5,1.179514093931323
1200.0,1.1814653398508268
1202.5,1.1833961365784416
1205.0,1.1853160041571884
1207.5,1.1871929667100396
1210.0,1.1890379444499206
1212.5,1.1907931430915524
1215.0,1.1924814796964869
1217.5,1.1940926111824244
1220.0,1.195604800657816
1222.5,1.1970661394944593
1225.0,1.1984742525927823
1227.5,1.1998891643744325
1230.0,1.2013437606777375
1232.5,1.2028457410412505
1235.0,1.2044388069518657
1237.5,1.2061566642667978
1240.0,1.208018878435457
1242.5,1.2100058417032842
1245.0,1.2121234847816567
1247.5,1.2143811240717628
1250.0,1.2167594456621127
1252.5,1.2192165544004914
1255.0,1.2217562165127238
1257.5,1.2243540936599469
1260.0,1.2269995856502955
1262.5,1.2296497648474995
1265.0,1.2323084278290302
1267.5,1.2349177785096925
1270.0,1.2374721825382418
1272.5,1.2399592084844002
1275.0,1.2423485442159827
1277.5,1.244607145451579
1280.0,1.2467950000610757
1282.5,1.2488645358500148
1285.0,1.2508507591921723
1287.5,1.252779998952811
1290.0,1.2547032632000124
1292.5,1.2566374666152822
1295.0,1.2586256022042726
1297.5,1.260661909112831
1300.0,1.2627746840958918
1302.5,1.264883435906598
1305.0,1.267062864363664
1307.5,1.269255749727645
1310.0,1.2714370649220426
1312.5,1.2736064079296971
1315.0,1.2757566589264353
1317.5,1.2778505502905086
1320.0,1.2798895032579498
1322.5,1.2818841303040562
1325.0,1.2837854477941173
1327.5,1.2856289214407282
1330.0,1.2874158257571686
1332.5,1.2891300677055006
1335.0,1.2908146511954612
1337.5,1.2924267277926123
1340.0,1.2939969918970389
1342.5,1.2955829325386006
1345.0,1.2972015824021463
1347.5,1.29891077227876
1350.0,1.3007165237175207
1352.5,1.3026456631054724
1355.0,1.3047048026776125
1357.5,1.3069069729165008
1360.0,1.3092207442700512
1362.5,1.311622085309511
1365.0,1.3141022179710018
1367.5,1.3166181304687372
1370.0,1.3191707594228026
1372.5,1.3217085096399328
1375.0,1.3242266276236814
1377.5,1.326697713517341
1380.0,1.3291002540132464
1382.5,1.3314113094852587
1385.0,1.3335990911088418
1387.5,1.3356499405905984
1390.0,1.337575441524838
1392.5,1.3393619646170676
1395.0,1.3410025949232327
1397.5,1.342506392256338
1400.0,1.3439120942004454
1402.5,1.3452085574835708
1405.0,1.3464665008223835
1407.5,1.3477237764975505
1410.0,1.3489713234384932
