,msd,step
0,0.0,0
1,8.125528252744524e-05,1
2,0.0003256066784046701,2
3,0.0007298740908830597,3
4,0.0012849556025740577,4
5,0.001976708785518638,5
6,0.0027888914330426447,6
7,0.003702824800344189,7
8,0.0047004402066835645,8
9,0.0057656869320593385,9
10,0.006881758894179634,10
11,0.008032446216203755,11
12,0.00920854510989924,12
13,0.010400763149712848,13
14,0.011605168892805572,14
15,0.012821707517369574,15
16,0.014055827706675177,16
17,0.015311446899768467,17
18,0.01659386610845584,18
19,0.01790382539298852,19
20,0.019242094415059918,20
21,0.02060859747444932,21
22,0.021998293317059648,22
23,0.02341488953419239,23
24,0.02485280098861708,24
25,0.026314293306209914,25
26,0.02779445926737622,26
27,0.029286198242173347,27
28,0.0307832145271592,28
29,0.03227437395721094,29
30,0.033745398173716495,30
31,0.03518162772245774,31
32,0.036570337561778736,32
33,0.03790140429567504,33
34,0.039154481502250656,34
35,0.04033050904168318,35
36,0.041427949138435054,36
37,0.04245746435205555,37
38,0.043435974048440976,38
39,0.04438574305696321,39
40,0.045338563107706495,40
41,0.04631049165956274,41
42,0.04732715104446002,42
43,0.04840772501363199,43
44,0.049567108726008245,44
45,0.05082445070539647,45
46,0.052182629742413465,46
47,0.053655605868496964,47
48,0.05524237002902561,48
49,0.05694907179053383,49
50,0.05877056924448671,50
51,0.060699291515841886,51
52,0.06272227865630214,52
53,0.06482166182023116,53
54,0.06697831492549478,54
55,0.06917404714019512,55
56,0.0713815790785199,56
57,0.07359534807779555,57
58,0.0757870934201286,58
59,0.07795170454020456,59
60,0.08008979828827122,60
61,0.0821999215544868,61
62,0.0842901966281128,62
63,0.08637073567924254,63
64,0.0884527094588821,64
65,0.09054387251511878,65
66,0.09265436939593291,66
67,0.09479504448023304,67
68,0.09698405348512623,68
69,0.09921776047644472,69
70,0.10150347628951792,70
71,0.10384845316325769,71
72,0.10625282810762286,72
73,0.10870844582497458,73
74,0.11121706190860386,74
75,0.11376034833848468,75
76,0.11632683849274211,76
77,0.118891558498068,77
78,0.12144491082212834,78
79,0.12395369530737427,79
80,0.12640849086128936,80
81,0.12879303686643395,81
82,0.1310882547111772,82
83,0.13329695192708885,83
84,0.13541327146975715,84
85,0.13745916125493746,85
86,0.13943850565950114,86
87,0.14136763778218475,87
88,0.14325807067585206,88
89,0.14513546081336226,89
90,0.1470186677000852,90
91,0.14892739879108083,91
92,0.1508938658743896,92
93,0.1529405105638068,93
94,0.15507566647996984,94
95,0.15732358074339708,95
96,0.15968118653871347,96
97,0.16215933442898875,97
98,0.16474340176170765,98
99,0.16743272299659712,99
100,0.17020812922912248,100
101,0.17306385063027668,101
102,0.17597740446865903,102
103,0.17893179976283402,103
104,0.1819048641828027,104
105,0.1848839000282087,105
106,0.1878443317115857,106
107,0.19077654584276105,107
108,0.1936776335985269,108
109,0.19652603816998673,109
110,0.19932248262615795,110
111,0.20208801468558793,111
112,0.2048080104572988,112
113,0.20749864064112042,113
114,0.21018269927736602,114
115,0.21288091475547835,115
116,0.21560028540996976,116
117,0.21836107613665648,117
118,0.22117779872729718,118
119,0.22406473785739342,119
120,0.22702149221368495,120
121,0.23005414127557586,121
122,0.23316585440342028,122
123,0.23634886470199806,123
124,0.23960829067145006,124
125,0.24293082734602617,125
126,0.24629516003071364,126
127,0.24967538871439027,127
128,0.2530524853315645,128
129,0.25638822029530595,129
130,0.2596648813509125,130
131,0.2628540733650678,131
132,0.2659481080270987,132
133,0.2689335113060298,133
134,0.27181163059103775,134
135,0.27458140692360955,135
136,0.2772581581890996,136
137,0.27988782134428847,137
138,0.28247656355658823,138
139,0.28506998339014344,139
140,0.2876893448009852,140
141,0.2903688227046534,141
142,0.29313288408457283,142
143,0.2960169967432555,143
144,0.2990340860854633,144
145,0.3022095232583871,145
146,0.30553907936889246,146
147,0.30903829896208973,147
148,0.3127016493166682,148
149,0.31647954435316555,149
150,0.32036507077119586,150
151,0.3243213865394049,151
152,0.328306120237023,152
153,0.3322845594229599,153
154,0.3362295654959096,154
155,0.34010328913783944,155
156,0.34389503360311197,156
157,0.3475838110120853,157
158,0.35116134884638184,158
159,0.3546301651792522,159
160,0.35799328986598783,160
161,0.3612768586144785,161
162,0.3645040217211893,162
163,0.3677030705798982,163
164,0.3709158393861663,164
165,0.37416926908059356,165
166,0.3774918195153526,166
167,0.3809102675813729,167
168,0.384445244576795,168
169,0.38809495724130044,169
170,0.3918438814875597,170
171,0.39567877236933047,171
172,0.3995874414350009,172
173,0.4035240335303447,173
174,0.40744123397849324,174
175,0.41130055952432754,175
176,0.41506841700274577,176
177,0.41867686024471973,177
178,0.4221229338254618,178
179,0.42538138258013114,179
180,0.42839729778559354,180
181,0.4312021155300399,181
182,0.4337946832477287,182
183,0.4362076751254224,183
184,0.43846532195383725,184
185,0.4406231091820294,185
186,0.44272174972154116,186
187,0.4448224042811991,187
188,0.44696940944721586,188
189,0.4491992765460101,189
190,0.4515665282981865,190
191,0.45407659243919013,191
192,0.456756703948318,192
193,0.4596134911536401,193
194,0.4626363091448954,194
195,0.4658234872743241,195
196,0.469136938651244,196
197,0.4725518904442787,197
198,0.4760254349208732,198
199,0.4795251086489467,199
200,0.4830025440675167,200
201,0.48642601116791856,201
202,0.4897636508981536,202
203,0.49298813873162384,203
204,0.4960953811676086,204
205,0.4990632114023755,205
206,0.5018978921794418,206
207,0.5046346608194059,207
208,0.507300829354238,208
209,0.509916151606077,209
210,0.5125401264452922,210
211,0.5151785615349693,211
212,0.517885639168535,212
213,0.5206914576513495,213
214,0.5236189818942688,214
215,0.5266830470402941,215
216,0.5298844082013716,216
217,0.5332236747867191,217
218,0.53668072048904,218
219,0.540245944718436,219
220,0.5438596445480885,220
221,0.5474874547556955,221
222,0.5510976873818909,222
223,0.5546164139841508,223
224,0.5580138833302388,224
225,0.5612498366352406,225
226,0.5642836439228894,226
227,0.5671014619174964,227
228,0.5696801733404628,228
229,0.5720193100546991,229
230,0.5741743474741423,230
231,0.5761503326199824,231
232,0.5779928451787756,232
233,0.5797311201583668,233
234,0.5814228628887232,234
235,0.58312470664649,235
236,0.5848775136061959,236
237,0.58672841924369,237
238,0.5887040825327412,238
239,0.5908317807914478,239
240,0.5931367435527686,240
241,0.5956086625655446,241
242,0.5982524589912255,242
243,0.6010527522023094,243
244,0.6039822755463271,244
245,0.6070084453592322,245
246,0.6101089414940545,246
247,0.6132453100693113,247
248,0.6163780334582042,248
249,0.6194872482854765,249
250,0.6225435799083306,250
251,0.6255320145670961,251
252,0.6284369305053856,252
253,0.6312563386820383,253
254,0.6340076436408972,254
255,0.6366892956944721,255
256,0.6393440451627757,256
257,0.641994366273296,257
258,0.6446636276226008,258
259,0.647402475296353,259
260,0.6502048953565158,260
261,0.6530964248789157,261
262,0.6561159908645376,262
263,0.6592388146455341,263
264,0.6624728296415996,264
265,0.6657884052536337,265
266,0.6691799902759272,266
267,0.6726268254031691,267
268,0.6760624195739188,268
269,0.6795084513933515,269
270,0.6829149622189488,270
271,0.6862301786309288,271
272,0.6894272363494046,272
273,0.6924760741898295,273
274,0.6953596988397851,274
275,0.6980545769535109,275
276,0.7005504500461647,276
277,0.702857799690356,277
278,0.7049941966330038,278
279,0.70699618380617,279
280,0.7088913243816523,280
281,0.7107209733869335,281
282,0.7125222467592476,282
283,0.7143430174238359,283
284,0.7162240333297859,284
285,0.718180049890478,285
286,0.7202386957658634,286
287,0.7224254361019997,287
288,0.7247174032050239,288
289,0.7271312502741553,289
290,0.7296539327241205,290
291,0.7322801658287332,291
292,0.7349798482423345,292
293,0.7377304125469439,293
294,0.7405065223287068,294
295,0.7433012322850022,295
296,0.7460603493236001,296
297,0.7487833376836455,297
298,0.7514257744336112,298
299,0.7540056121630736,299
300,0.7565157027604825,300
301,0.758962670841705,301
302,0.7613801061114258,302
303,0.7637937990423249,303
304,0.7662254548239091,304
305,0.7686934379674564,305
306,0.7712222895975749,306
307,0.7738608153710557,307
308,0.7765815994870127,308
309,0.7794294000249771,309
310,0.7823823713534129,310
311,0.7854238793983347,311
312,0.7885526344241739,312
313,0.7917484995685478,313
314,0.7949881944706174,314
315,0.7982292312868114,315
316,0.8014542292880074,316
317,0.8046218112279475,317
318,0.8077160069866349,318
319,0.8107087463591577,319
320,0.8135988667879366,320
321,0.8163488583441774,321
322,0.8189548717931994,322
323,0.8214114958018413,323
324,0.8237479189900948,324
325,0.825928649309755,325
326,0.8279933664087159,326
327,0.8299764986092586,327
328,0.8318968222774284,328
329,0.8337963741399341,329
330,0.8356880645076683,330
331,0.8375831389483677,331
332,0.839521551689819,332
333,0.8414949220474737,333
334,0.843495554116907,334
335,0.845549815174427,335
336,0.8476385754378233,336
337,0.8497678171578557,337
338,0.8519385999902991,338
339,0.8541315550694841,339
340,0.8563478895967251,340
341,0.8586138492559751,341
342,0.8608948376300118,342
343,0.8631748977547785,343
344,0.8654384991372702,344
345,0.867677818179704,345
346,0.8698692919007267,346
347,0.87202246509652,347
348,0.8741432799640124,348
349,0.8762225012163276,349
350,0.8782658958491342,350
351,0.8803141500791392,351
352,0.8823838968163226,352
353,0.8845001562173818,353
354,0.8866732774188208,354
355,0.8889058981426776,355
356,0.8912200198149682,356
357,0.893593684038087,357
358,0.8960278882379176,358
359,0.8985233104227635,359
360,0.9010590780514541,360
361,0.9036080470163844,361
362,0.9061808652966037,362
363,0.9087425175778105,363
364,0.9113133174403552,364
365,0.913864860750397,365
366,0.9163730127091081,366
367,0.9188213450271115,367
368,0.9211738511106616,368
369,0.9234175251818022,369
370,0.9255481245046947,370
371,0.9275439494043136,371
372,0.929416510863945,372
373,0.9311910342674347,373
374,0.9328731777591438,374
375,0.934498405382883,375
376,0.9360833583915387,376
377,0.9376934024087438,377
378,0.9392936549025619,378
379,0.9409129270209493,379
380,0.9425678530900518,380
381,0.9442571311860561,381
382,0.94596834202329,382
383,0.9477202068695116,383
384,0.9495246635953344,384
385,0.9513790734108277,385
386,0.9532874861713933,386
387,0.955265028264765,387
388,0.9573111090057763,388
389,0.9594396753876138,389
390,0.9616017221625097,390
391,0.9638378042571186,391
392,0.9661254942603615,392
393,0.9684389572330274,393
394,0.9707832565400499,394
395,0.9731563972685849,395
396,0.9755592330196143,396
397,0.9780137385983161,397
398,0.9805241497448542,398
399,0.9830921586804815,399
400,0.985761383143327,400
401,0.9885256634499928,401
402,0.9913899604054871,402
403,0.9943440563212869,403
404,0.997372424328171,404
405,1.000458730619927,405
406,1.003594442983628,406
407,1.0067706667876202,407
408,1.0099804892659785,408
409,1.013217173787123,409
410,1.016473329612011,410
411,1.0197596409134266,411
412,1.0230428365654678,412
413,1.0263029909408496,413
414,1.0295022749818297,414
415,1.0326239772701897,415
416,1.0355983841452623,416
417,1.0384104809184544,417
418,1.0410363332171906,418
419,1.043460127760464,419
420,1.0456822712230298,420
421,1.047711726747022,421
422,1.049598523323089,422
423,1.051351977387606,423
424,1.053009210379477,424
425,1.0545994637030733,425
426,1.056146488966302,426
427,1.0576552550418439,427
428,1.0591472430596534,428
429,1.060649358159772,429
430,1.0621706839614877,430
431,1.0637319906991318,431
432,1.0653359101121935,432
433,1.0670034312159817,433
434,1.0687531679550588,434
435,1.0705888949741373,435
436,1.0724818393223683,436
437,1.0744293209528024,437
438,1.0764080833718224,438
439,1.0783853886593155,439
440,1.080350803242223,440
441,1.0822975660100607,441
442,1.0842215799777968,442
443,1.086155133038374,443
444,1.0880932956849507,444
445,1.090097597574974,445
446,1.0921878212127052,446
447,1.0943931725652394,447
448,1.096717128519745,448
449,1.0992179748243378,449
450,1.1018623387572468,450
451,1.1046635099116775,451
452,1.1075808661712117,452
453,1.1106122681678785,453
454,1.1137456361109332,454
455,1.1169751703103035,455
456,1.1202859985138582,456
457,1.1236614035425225,457
458,1.1270887343514335,458
459,1.130518388300911,459
460,1.1339421016348532,460
461,1.1373004472713675,461
462,1.1405606042129575,462
463,1.1436808492092974,463
464,1.1466494887561176,464
465,1.149438140169557,465
466,1.1520662361100944,466
467,1.1545406324600136,467
468,1.1568816494576828,468
469,1.1591260381497008,469
470,1.1613080158327138,470
471,1.163429458997557,471
472,1.1654987820805909,472
473,1.1675635431144273,473
474,1.1696166598738507,474
475,1.1716398339435807,475
476,1.1736321810120054,476
477,1.1755969705744163,477
478,1.177552789354657,478
479,1.1795140939313227,479
480,1.1814653398508268,480
481,1.1833961365784418,481
482,1.1853160041571886,482
483,1.1871929667100398,483
484,1.1890379444499208,484
485,1.1907931430915524,485
486,1.1924814796964858,486
487,1.1940926111824253,487
488,1.1956048006578153,488
489,1.197066139494459,489
490,1.1984742525927814,490
491,1.199889164374432,491
492,1.2013437606777355,492
493,1.2028457410412512,493
494,1.2044388069518666,494
495,1.2061566642667971,495
496,1.208018878435456,496
497,1.210005841703282,497
498,1.2121234847816575,498
499,1.2143811240717632,499
500,1.216759445662112,500
501,1.2192165544004914,501
