,snapshots,Mx,My,Mz,eps_x,eps_y,eps_z
0,0.0,11.5204897622495,4.450650745757924,19.634065458056025,1.0,1.0,1.0
1,1.0,11.55987605203498,4.49003703554339,19.437134009128673,1.0001233116161443,1.0001233116161454,1.0030827904036328
2,2.0,11.303865168429436,4.3521850212942725,19.06296425616674,1.0040281794607415,1.0010687006732621,1.017839080469094
3,3.0,10.988774850145711,4.273412441723334,19.102350545952195,1.0163387891392957,1.0022812648986943,1.0179110122451864
4,4.0,10.594911952291001,4.2537192968305915,18.826646517453938,1.0415609471057201,1.0027917749895345,1.026171657410736
5,5.0,10.319207923792728,4.4900370355434,18.59032877874113,1.068396843088775,1.003027985240905,1.0389116655392474
6,6.0,10.31920792379273,4.352185021294254,18.41309047470652,1.0792969188724113,1.0026373586473556,1.052203595210671
7,7.0,10.397980503363677,4.430957600865194,18.413090474706507,1.079744080766161,1.0023968695388288,1.0580489433005442
8,8.0,10.319207923792728,4.352185021294268,18.1767727359937,1.0806031707215473,1.002167848659153,1.0696512723690628
9,9.0,10.22074219932905,4.3127987315088,17.743523548353544,1.0826052185397748,1.0020913650098295,1.0977663817448329
10,10.0,10.023810750401731,4.4506507457579385,17.52689895453346,1.0891227062410345,1.0020483995739886,1.1275490516821889
11,11.0,9.885958736152592,4.529423325328859,17.369353795391575,1.0973202677202492,1.002401151192168,1.155502798604895
12,12.0,9.61025470765432,4.647582194685288,17.034570332215115,1.1129067424992454,1.0036584878304975,1.1936722028018676
13,13.0,9.177005520014156,4.667275339578031,16.857332028180497,1.1442167099276823,1.0047468680807075,1.230683947622523
14,14.0,9.275471244477837,4.98236565786177,16.877025173073246,1.1617004404324347,1.010415173125471,1.2553175233068659
15,15.0,9.472402693405174,5.080831382325433,17.073956622000566,1.1665304108606493,1.016737625147765,1.2631657746086866
16,16.0,9.708720432117977,5.179297106789098,17.054263477107828,1.1631374280065037,1.023703138062703,1.2681963648597436
17,17.0,10.043503895294435,5.238376541467316,17.113342911786035,1.1549787242363427,1.0303654854758575,1.26857117759944
18,18.0,10.181355909543594,5.277762831252774,17.073956622000576,1.1469286940966053,1.036371119844745,1.2685364921220956
19,19.0,10.299514778900013,5.238376541467308,17.211808636249728,1.1396069379402167,1.0402966947611874,1.2637324107523202
20,20.0,10.378287358470942,5.1202176721109005,17.31027436071339,1.1331569721648607,1.041532247096013,1.2567051452883446
21,21.0,10.594911952291014,4.942979368076299,17.82229612792449,1.12859057624176,1.040636782593447,1.2451203082753988
22,22.0,10.673684531861943,4.88389993339809,17.96014814217362,1.1250323842937986,1.0393827930960393,1.2345163159974706
23,23.0,11.106933719502095,4.746047919148941,18.531249344062925,1.1281173438526162,1.0377742443299476,1.2298143176153145
24,24.0,11.500796617356778,4.371878166186999,19.043271111274006,1.1396625391479216,1.03755894259069,1.2358716431548065
25,25.0,12.150670398817004,4.470343890650677,19.378054574450477,1.1711968366230796,1.0366541954856578,1.2501002185565113
26,26.0,12.524840151778967,4.293105586616079,19.830996906983362,1.2138064421332295,1.0369623609241156,1.2778439066604994
27,27.0,13.036861918990082,4.096174137688722,19.9097694865543,1.275306237718715,1.039150179844441,1.304125924006443
28,28.0,13.194407078131952,4.09617413768872,20.22485980483803,1.3363058206015537,1.0409535325593389,1.3389327539129103
29,29.0,13.25348651281014,3.879549543868643,20.441484398658105,1.3917478512555443,1.0452533079318413,1.3778459736770696
30,30.0,13.292872802595605,3.9386289785468236,20.559643268014533,1.441394764046814,1.048113600638079,1.4162720432331415
31,31.0,13.332259092381067,3.9780152683323107,21.189823904582035,1.4860206928879092,1.0500643957336213,1.4795665821662962
32,32.0,13.27317965770286,4.135560427474191,21.80031139625678,1.5219066206119676,1.050217381794972,1.5691378004409178
33,33.0,13.56857683109389,4.411264455972465,22.450185177717028,1.5656868121915295,1.0489040429094074,1.6895164224617554
34,34.0,13.844280859592155,4.411264455972458,22.784968640893506,1.616408697513063,1.0476566681076103,1.8186848448115267
35,35.0,13.94274658405582,4.588502760007068,22.9622069449281,1.6653057506119708,1.046354891702743,1.9450507113548032
36,36.0,13.785201424913957,4.686968484470748,23.04097952449905,1.701192904884218,1.045284457100619,2.062132580761002
37,37.0,13.627656265772075,4.923286223183561,23.060672669391767,1.7262931220943574,1.0452693680458371,2.167035908685193
38,38.0,13.214100223024667,4.8445136436126095,23.533308146817397,1.7344970073259998,1.0447824659150728,2.2912204976966652
39,39.0,12.780851035384503,4.883899933398069,23.73023959574475,1.7304129290314316,1.044472334362924,2.4150839535421067
40,40.0,12.426374427315299,4.824820498719885,24.08471620381397,1.7197007286328518,1.0438835305653413,2.549899228611709
41,41.0,12.091590964138826,4.80512735382716,24.340727087419534,1.7053193059486977,1.0432298789543486,2.688372302393232
42,42.0,12.268829268173429,4.588502760007064,24.537658536346857,1.6932342973647925,1.042224991829591,2.826245168498562
43,43.0,11.91435266010418,4.430957600865222,24.970907723987025,1.6786130592028754,1.0414237221685914,2.9809083748911767
44,44.0,11.91435266010421,4.096174137688731,24.99060086887974,1.6645923700770595,1.042102543902763,3.1215770256262183
45,45.0,11.678034921391381,3.7416975296195196,24.714896840381467,1.6502900432556258,1.045788761623834,3.2299385946783343
46,46.0,11.343251458214926,3.485686646013985,24.4982722465614,1.6366965590624172,1.0522962945224872,3.314152648196953
47,47.0,10.71307082164743,3.1902894726229603,24.163488783384906,1.627766539316593,1.0627801702394737,3.371259204031544
48,48.0,10.279821634007284,2.894892299231944,24.12410249359944,1.6246296759869434,1.077839982626346,3.4198581161560475
49,49.0,10.102583329972656,2.6782677054118604,23.927171044672097,1.6241045543375565,1.0961900153687336,3.453560278666143
50,50.0,9.629947852547032,2.441949966699061,23.887784754886635,1.6323517339126026,1.1184563338569966,3.4810812033608647
51,51.0,9.393630113834227,2.323791097342677,23.90747789977935,1.644931062086794,1.1418008340050823,3.5055076198956354
52,52.0,9.610254707654292,2.225325372878984,23.907477899779337,1.6513159773325516,1.1657227347279135,3.526341402084052
53,53.0,9.19669866490688,2.1268596484153077,23.671160161066556,1.666104696552931,1.1902214463159517,3.53513459139081
54,54.0,9.09823294044321,2.304097952449912,23.415149277460998,1.6818167892575135,1.2087103523432303,3.533150133186332
55,55.0,8.940687781301348,2.402563676913586,23.19852468364093,1.6999497238183596,1.2237029608893066,3.5233384592549166
56,56.0,8.62559746301758,2.3434842422353803,22.863741220464444,1.7248534618223936,1.2387085925370567,3.504180875010229
57,57.0,8.231734565162903,2.2647116626644372,22.863741220464433,1.7593346407572352,1.254138532782843,3.4848329124830584
58,58.0,8.093882550913758,2.126859648415295,23.080365814284495,1.7954209245996888,1.2712288768114082,3.470339191314085
