,snapshots,dMx,dMy,dMz,eps_from_dMx,eps_from_dMy,eps_from_dMz
0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1,1.0,0.039386289785479534,0.03938628978546532,-0.19693144892735148,1.0001233116161456,1.0001233116161456,1.0030827904036406
2,2.0,-0.2166245938200646,-0.09846572446365176,-0.5711012018892845,1.0040281794607566,1.0010687006732617,1.0178390804690647
3,3.0,-0.531714912103789,-0.1772383040345904,-0.5317149121038298,1.016338789139292,1.0022812648986934,1.01791101224515
4,4.0,-0.925577809958499,-0.19693144892733283,-0.8074189406020871,1.0415609471057166,1.0027917749895363,1.026171657410744
5,5.0,-1.2012818384567723,0.03938628978547598,-1.0437366793148932,1.068396843088766,1.0030279852409085,1.0389116655392805
6,6.0,-1.2012818384567705,-0.09846572446367041,-1.2209749833495032,1.079296918872413,1.002637358647359,1.0522035952107038
7,7.0,-1.1225092588858239,-0.019693144892729997,-1.2209749833495174,1.0797440807661651,1.0023968695388301,1.0580489433005456
8,8.0,-1.2012818384567723,-0.0984657244636562,-1.4572927220623235,1.0806031707215502,1.0021678486591523,1.0696512723690612
9,9.0,-1.2997475629204498,-0.1378520142491242,-1.8905419097024811,1.0826052185397843,1.0020913650098293,1.0977663817448868
10,10.0,-1.4966790118477693,1.4210854715202004e-14,-2.1071665035225635,1.0891227062410416,1.0020483995739888,1.1275490516822528
11,11.0,-1.6345310260969086,0.07877257957093509,-2.2647116626644497,1.097320267720253,1.0024011511921684,1.1555027986049606
12,12.0,-1.91023505459518,0.19693144892736392,-2.5994951258409102,1.1129067424992414,1.0036584878304975,1.1936722028019542
13,13.0,-2.343484242235345,0.21662459382010635,-2.7767334298755273,1.1442167099276845,1.0047468680807075,1.23068394762261
14,14.0,-2.2450185177716637,0.5317149121038458,-2.7570402849827786,1.1617004404324354,1.0104151731254725,1.255317523306934
15,15.0,-2.0480870688443265,0.6301806365675091,-2.560108836055459,1.1665304108606454,1.0167376251477651,1.2631657746087623
16,16.0,-1.8117693301315239,0.7286463610311733,-2.579801980948197,1.1631374280065074,1.023703138062703,1.2681963648598178
17,17.0,-1.476985866955065,0.7877257957093917,-2.5207225462699903,1.1549787242363383,1.030365485475858,1.2685711775995165
18,18.0,-1.3391338527059062,0.8271120854948499,-2.5601088360554485,1.1469286940966017,1.0363711198447447,1.26853649212218
19,19.0,-1.2209749833494872,0.7877257957093837,-2.4222568218062968,1.1396069379402134,1.0402966947611851,1.2637324107523922
20,20.0,-1.1422024037785583,0.6695669263529762,-2.3237910973426352,1.133156972164856,1.0415322470960102,1.2567051452883855
21,21.0,-0.9255778099584866,0.49232862231837426,-1.8117693301315363,1.128590576241762,1.0406367825934415,1.245120308275437
22,22.0,-0.8468052303875577,0.4332491876401656,-1.6739173158824059,1.1250323842937906,1.0393827930960335,1.2345163159975214
23,23.0,-0.41355604274740543,0.29539717339101657,-1.1028161139931,1.1281173438526193,1.0377742443299398,1.2298143176153795
24,24.0,-0.019693144892722003,-0.07877257957092532,-0.5907943467820189,1.1396625391479336,1.037558942590682,1.235871643154846
25,25.0,0.6301806365675038,0.01969314489275309,-0.2560108836055477,1.1711968366230794,1.0366541954856507,1.250100218556541
26,26.0,1.004350389529467,-0.1575451591418453,0.19693144892733727,1.2138064421332295,1.0369623609241085,1.2778439066605394
27,27.0,1.516372156740582,-0.3544766080692021,0.275704028498275,1.2753062377187294,1.0391501798444351,1.3041259240064769
28,28.0,1.673917315882452,-0.3544766080692039,0.5907943467820047,1.3363058206015723,1.0409535325593333,1.3389327539129443
29,29.0,1.7329967505606394,-0.5711012018892814,0.80741894060208,1.3917478512555594,1.045253307931838,1.3778459736771143
