119.15556885630207, 729.593338977875
118.4273529851863, 770.7943744274489
126.38571214809431, 797.4254886758854
128.88245227763412, 819.9557972882403
134.34407131100235, 838.0958316313781
140.6379370542172, 859.2752866224355
147.19187989425907, 887.5306415345749
152.42593146790364, 921.9211233101072
160.34527906628762, 995.9647874274767
169.03835602773205, 1040.289671876301
177.77694648112129, 1007.1937581545121
177.04873061000546, 1036.2371110124086
187.78991470896307, 950.3734777086859
188.8822385156367, 909.5945840157675
200.35163848571, 833.6090678177828
204.1747718090678, 807.2674222024815
214.1877400369096, 726.7227750326178
217.46471145693056, 694.4711448241399
218.92114319916203, 718.1110831968463
224.92892413586713, 678.8518998278876
228.12787242683999, 655.0069211733771
232.24749364058056, 591.2659281570105
238.58297171928774, 564.1137703689307
233.12135268591948, 620.8496224634259
246.38528462409954, 536.3247815879535
248.77799391490845, 498.5973697360017
260.86637737543015, 501.096448935402
262.7354647779606, 477.15256849790376
273.1004040101751, 447.4000174888263
269.71420020948676, 475.2951447686197
282.9313182702379, 449.3925265802401
285.55289540625466, 433.41868250839707
297.5684572796648, 434.51625107570123
311.1618202071591, 437.5462907956951
318.32260960646414, 436.1203897509921
