,thz,freq_kayser,vdos
0,0.0,0.0,0.017787908878875804
1,0.206632233471281,6.8808533745936575,1.1989829983412423
2,0.413264466942562,13.761706749187315,1.9559633779568777
3,0.619896700413843,20.64256012378097,2.6670965392067685
4,0.826528933885124,27.52341349837463,2.8250167992547484
5,1.033161167356405,34.40426687296828,2.9350131574397462
6,1.239793400827686,41.28512024756194,2.9152586070391573
7,1.4464256342989672,48.165973622155605,3.155893609711276
8,1.653057867770248,55.04682699674926,2.297025384958847
9,1.859690101241529,61.92768037134291,2.3539292753355867
10,2.06632233471281,68.80853374593656,2.3745682239920565
11,2.2729545681840913,75.68938712053023,1.777125877157024
12,2.479586801655372,82.57024049512388,2.0472931797451372
13,2.686219035126653,89.45109386971754,2.0714612002707082
14,2.8928512685979344,96.33194724431121,1.6265783454625922
15,3.0994835020692153,103.21280061890486,1.7820420231372656
16,3.306115735540496,110.09365399349852,1.634054204666027
17,3.512747969011777,116.97450736809216,1.592826978117381
18,3.719380202483058,123.85536074268582,1.4747233689841952
19,3.9260124359543394,130.7362141172795,1.5007411833454916
20,4.13264466942562,137.61706749187312,1.1717173982338465
21,4.339276902896901,144.49792086646679,1.4101206086583489
22,4.5459091363681825,151.37877424106046,1.4615946162639641
23,4.752541369839463,158.2596276156541,1.1545392753697081
24,4.959173603310744,165.14048099024777,1.0015093947895177
25,5.165805836782026,172.02133436484144,1.1000485082212532
26,5.372438070253306,178.90218773943508,1.2042402588075012
27,5.5790703037245875,185.78304111402875,0.7071818014826352
28,5.785702537195869,192.66389448862242,0.9290451286175891
29,5.992334770667149,199.54474786321606,0.7855356352546223
30,6.198967004138431,206.42560123780973,0.7650958926773624
31,6.405599237609711,213.30645461240337,0.9189530574252931
32,6.612231471080992,220.18730798699704,1.0074533253438644
33,6.818863704552274,227.06816136159068,0.8518705882541431
34,7.025495938023554,233.94901473618432,0.6622829209087858
35,7.2321281714948356,240.829868110778,0.7955927926259144
36,7.438760404966116,247.71072148537164,0.8094859739602387
37,7.645392638437397,254.5915748599653,0.6960638759513175
38,7.852024871908679,261.472428234559,0.6704839620169926
39,8.05865710537996,268.35328160915265,0.592531385977945
40,8.26528933885124,275.23413498374623,0.4089907068510491
41,8.471921572322522,282.11498835833993,0.7714684867196946
42,8.678553805793802,288.99584173293357,0.6577220916702642
43,8.885186039265083,295.8766951075272,0.6034735771516414
44,9.091818272736365,302.7575484821209,0.7102341890345233
45,9.298450506207645,309.63840185671455,0.7103585263633766
46,9.505082739678926,316.5192552313082,0.4619558745949119
47,9.711714973150208,323.4001086059019,0.3493208199386065
48,9.918347206621489,330.28096198049553,0.3088607089047883
49,10.124979440092769,337.1618153550892,0.19883422797922118
50,10.331611673564051,344.0426687296829,0.232450175851113
51,10.538243907035332,350.9235221042765,0.22518751098929093
52,10.744876140506612,357.80437547887016,0.19699956607525587
53,10.951508373977894,364.68522885346385,0.14923650628771173
54,11.158140607449175,371.5660822280575,0.16223133166974832
55,11.364772840920455,378.44693560265114,0.10798758542283712
56,11.571405074391738,385.32778897724484,0.08785704137083881
57,11.778037307863018,392.2086423518385,0.08743111802467861
58,11.984669541334299,399.0894957264321,0.09070257187698932
59,12.191301774805579,405.97034910102576,0.08455252998662595
60,12.397934008276861,412.85120247561946,0.05743896534576467
61,12.604566241748142,419.7320558502131,0.06910651590946072
62,12.811198475219422,426.61290922480674,0.06537541780278598
63,13.017830708690704,433.49376259940044,0.054701921925668695
64,13.224462942161985,440.3746159739941,0.057792796764976256
65,13.431095175633265,447.2554693485877,0.05325005608688362
66,13.637727409104548,454.13632272318137,0.054679989365048205
67,13.844359642575828,461.017176097775,0.052816502983436306
68,14.050991876047108,467.89802947236865,0.05303698461795275
69,14.25762410951839,474.77888284696235,0.046108007870978615
70,14.464256342989671,481.659736221556,0.0462094609035007
71,14.670888576460952,488.54058959614963,0.04261042878607045
72,14.877520809932232,495.42144297074327,0.04099823110344032
73,15.084153043403514,502.30229634533697,0.044098769566827026
74,15.290785276874795,509.1831497199306,0.03730332405834732
75,15.497417510346075,516.0640030945243,0.03661145983738763
76,15.704049743817357,522.944856469118,0.04373398849679061
77,15.910681977288638,529.8257098437116,0.041984539520458754
78,16.11731421075992,536.7065632183053,0.04500453164214277
79,16.3239464442312,543.5874165928989,0.03924100571071422
80,16.53057867770248,550.4682699674925,0.04643913300592833
81,16.73721091117376,557.3491233420862,0.04158838529043774
82,16.943843144645044,564.2299767166799,0.0443100813724776
83,17.150475378116322,571.1108300912734,0.05602392558380437
84,17.357107611587605,577.9916834658671,0.04851372092616655
85,17.563739845058887,584.8725368404608,0.048068188983111486
86,17.770372078530166,591.7533902150544,0.05916346105368615
87,17.977004312001448,598.6342435896481,0.04939240141243747
88,18.18363654547273,605.5150969642418,0.05763426553805744
89,18.39026877894401,612.3959503388354,0.05445160181047687
90,18.59690101241529,619.2768037134291,0.06348502720381315
91,18.803533245886573,626.1576570880228,0.05949195003981931
92,19.010165479357852,633.0385104626164,0.05511263747397689
93,19.216797712829134,639.9193638372101,0.04976513568046536
94,19.423429946300416,646.8002172118038,0.06228389779459644
95,19.630062179771695,653.6810705863974,0.04883458327883958
96,19.836694413242977,660.5619239609911,0.0552838012836776
97,20.04332664671426,667.4427773355848,0.050462713909364736
98,20.249958880185538,674.3236307101783,0.04951611878177462
99,20.45659111365682,681.204484084772,0.052771229582718585
100,20.663223347128103,688.0853374593657,0.054204272371151635
101,20.86985558059938,694.9661908339593,0.049068215245048154
102,21.076487814070664,701.847044208553,0.05741107431495798
