,freq_kayser,real_ref_index,imag_ref_index,alpha
198,27245.454545454544,2.8856118494539875,0.1725173863213402,59095.04651443727
199,27383.05785123967,3.0483732504211485,0.555443382296745,191225.5382159472
200,27520.661157024795,2.579014015827006,0.6761522141988449,233952.39146935244
201,27658.26446280992,2.353002032829925,0.4709308593160913,163759.39534366826
202,27795.86776859504,2.554655852534314,0.17552632281206146,61340.405527952804
203,27933.471074380166,2.366872069167087,0.2697030006108822,94718.50504098543
204,28071.07438016529,2.750742809560202,0.08137402359189339,28718.977714613353
205,28208.677685950413,2.4131736342810015,0.20287229256264103,71949.80425486063
206,28346.28099173554,2.6842397136738123,-0.00924688305535662,-3295.4566586924943
207,28483.88429752066,2.636290521045159,-0.03955283408452398,-14164.490963228041
208,28621.487603305784,2.915738237423516,-0.06862108852456958,-24693.00569540876
209,28759.09090909091,2.9578595303339403,0.19331565722368085,69898.25521190789
210,28896.694214876035,2.7033070615900305,0.14097794743734848,51218.10387889124
211,29034.297520661155,2.8246890886815894,0.08271530409873402,30194.048252107572
212,29171.90082644628,2.8519754287562242,0.026273925009706982,9636.378182072587
213,29309.504132231406,3.00720614461823,0.021990941559357418,8103.571092963874
214,29447.10743801653,2.779816867991748,0.26074395150970614,96534.16289612239
215,29584.710743801654,2.8304948765721614,-0.17449653330650017,-64905.01908276489
216,29722.314049586777,3.316801475139038,0.01004794662863312,3754.776485622109
217,29859.9173553719,2.886597904565495,0.43939651497191146,164956.4723810254
218,29997.520661157025,2.866604710109061,-0.0992883310194817,-37446.1974377166
219,30135.12396694215,3.179634806838857,-0.08734681847209119,-33093.61608293016
220,30272.727272727276,3.301638086727724,0.31106399987352745,118392.84358822745
221,30410.330578512396,2.8158731146731903,0.06835807716270609,26135.759816136782
222,30547.93388429752,3.5898715603319578,-0.12410753355928256,-47665.49834352875
223,30685.537190082647,3.519113967041665,0.7331743754618529,282855.8463834153
224,30823.14049586777,3.0571350698117468,0.7692473685152589,298103.48711784714
225,30960.743801652894,2.7754485649606884,0.5541847082254495,215719.83270593945
226,31098.347107438018,2.655446433170536,0.3973779848115443,155369.31853535224
227,31235.95041322314,2.9182886092678926,0.01840319519966614,7227.233870202771
228,31373.553719008265,2.9653881657577905,0.4903030212681587,193398.20329823703
229,31511.15702479339,2.887262504668221,0.07027616645912793,27841.752206115994
230,31648.760330578512,2.9846354856414665,0.16227668060851028,64570.91941347997
231,31786.363636363636,2.9295249720525094,0.30127917683180516,120402.1146684196
232,31923.96694214876,3.0161602272983696,0.051296742922030215,20588.78858613806
233,32061.570247933887,3.3171124695124385,0.11005936080647354,44364.53418910864
234,32199.17355371901,3.176662440883706,0.5534663799434324,224057.82772850493
235,32336.77685950413,2.990747231058875,0.5447665879575914,221478.38306000372
236,32474.380165289254,2.7220968152574168,0.40370666541183525,164827.98200373907
237,32611.98347107438,2.781437154854635,0.13136009358611728,53859.80961152439
238,32749.586776859505,2.931023739879155,0.11774727975491213,48482.036973245704
239,32887.19008264463,3.082885140414111,-0.0035208775618918694,-1455.8004270508939
240,33024.79338842975,3.263710599873251,0.1240940570594015,51524.672947639105
241,33162.396694214876,3.4139891635070607,0.52399839193086,218474.12843512892
242,33300.0,3.009183737164687,0.7369376409043699,308531.22565862956
243,33437.603305785124,2.543175081719046,0.5101114596883725,214449.1713341168
244,33575.20661157025,2.7136646541336886,0.14716366892143587,62121.71712443379
245,33712.80991735537,2.8037044222682366,0.35193623047169725,149170.54661260426
246,33850.413223140495,2.8186491638645172,0.1561573841413,66458.51779950733
247,33988.01652892562,2.4941698409339876,0.08896670702790438,38016.96894584137
248,34125.61983471075,2.780332418018654,-0.24741711952966594,-106153.53130586311
